SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$004329,17193,A2A2H,"""HDMA Mid Frame Table Address (High)""",UNUSED
$00432A,17194,NTLR2,"""HDMA Line Counter""",UNUSED
$004330,17200,DMAP3,"""(H)DMA Control""",UNUSED
$004331,17201,BBAD3,"""(H)DMA B-Bus Address""",UNUSED
$004332,17202,A1T3L,"""DMA A-Bus Address / HDMA Table Address (Low)""",UNUSED
$004333,17203,A1T3H,"""DMA A-Bus Address / HDMA Table Address (High)""",UNUSED
$004334,17204,A1B3,"""DMA A-Bus Address / HDMA Table Address (Bank)""",UNUSED
$004335,17205,DAS3L,"""DMA Size / HDMA Indirect Address (Low)""",UNUSED
$004336,17206,DAS3H,"""DMA Size / HDMA Indirect Address (High)""",UNUSED
$004337,17207,DAS3B,"""HDMA Indirect Address (Bank)""",UNUSED
$004338,17208,A2A3L,"""HDMA Mid Frame Table Address (Low)""",UNUSED
$004339,17209,A2A3H,"""HDMA Mid Frame Table Address (High)""",UNUSED
$00433A,17210,NTLR3,"""HDMA Line Counter""",UNUSED
$004340,17216,DMAP4,"""(H)DMA Control""",UNUSED
$004341,17217,BBAD4,"""(H)DMA B-Bus Address""",UNUSED
$004342,17218,A1T4L,"""DMA A-Bus Address / HDMA Table Address (Low)""",UNUSED
$004343,17219,A1T4H,"""DMA A-Bus Address / HDMA Table Address (High)""",UNUSED
$004344,17220,A1B4,"""DMA A-Bus Address / HDMA Table Address (Bank)""",UNUSED
$004345,17221,DAS4L,"""DMA Size / HDMA Indirect Address (Low)""",UNUSED
$004346,17222,DAS4H,"""DMA Size / HDMA Indirect Address (High)""",UNUSED
$004347,17223,DAS4B,"""HDMA Indirect Address (Bank)""",UNUSED
$004348,17224,A2A4L,"""HDMA Mid Frame Table Address (Low)""",UNUSED
$004349,17225,A2A4H,"""HDMA Mid Frame Table Address (High)""",UNUSED
$00434A,17226,NTLR4,"""HDMA Line Counter""",UNUSED
$004350,17232,DMAP5,"""(H)DMA Control""",UNUSED
$004351,17233,BBAD5,"""(H)DMA B-Bus Address""",UNUSED
$004352,17234,A1T5L,"""DMA A-Bus Address / HDMA Table Address (Low)""",UNUSED
$004353,17235,A1T5H,"""DMA A-Bus Address / HDMA Table Address (High)""",UNUSED
$004354,17236,A1B5,"""DMA A-Bus Address / HDMA Table Address (Bank)""",UNUSED
$004355,17237,DAS5L,"""DMA Size / HDMA Indirect Address (Low)""",UNUSED
$004356,17238,DAS5H,"""DMA Size / HDMA Indirect Address (High)""",UNUSED
$004357,17239,DAS5B,"""HDMA Indirect Address (Bank)""",UNUSED
$004358,17240,A2A5L,"""HDMA Mid Frame Table Address (Low)""",UNUSED
$004359,17241,A2A5H,"""HDMA Mid Frame Table Address (High)""",UNUSED
$00435A,17242,NTLR5,"""HDMA Line Counter""",UNUSED
$004360,17248,DMAP6,"""(H)DMA Control""",UNUSED
$004361,17249,BBAD6,"""(H)DMA B-Bus Address""",UNUSED
$004362,17250,A1T6L,"""DMA A-Bus Address / HDMA Table Address (Low)""",UNUSED
$004363,17251,A1T6H,"""DMA A-Bus Address / HDMA Table Address (High)""",UNUSED
$004364,17252,A1B6,"""DMA A-Bus Address / HDMA Table Address (Bank)""",UNUSED
$004365,17253,DAS6L,"""DMA Size / HDMA Indirect Address (Low)""",UNUSED
$004366,17254,DAS6H,"""DMA Size / HDMA Indirect Address (High)""",UNUSED
$004367,17255,DAS6B,"""HDMA Indirect Address (Bank)""",UNUSED
$004368,17256,A2A6L,"""HDMA Mid Frame Table Address (Low)""",UNUSED
$004369,17257,A2A6H,"""HDMA Mid Frame Table Address (High)""",UNUSED
$00436A,17258,NTLR6,"""HDMA Line Counter""",UNUSED
$004370,17264,DMAP7,"""(H)DMA Control""",UNUSED
$004371,17265,BBAD7,"""(H)DMA B-Bus Address""",UNUSED
$004372,17266,A1T7L,"""DMA A-Bus Address / HDMA Table Address (Low)""",UNUSED
$004373,17267,A1T7H,"""DMA A-Bus Address / HDMA Table Address (High)""",UNUSED
$004374,17268,A1B7,"""DMA A-Bus Address / HDMA Table Address (Bank)""",UNUSED
$004375,17269,DAS7L,"""DMA Size / HDMA Indirect Address (Low)""",UNUSED
$004376,17270,DAS7H,"""DMA Size / HDMA Indirect Address (High)""",UNUSED
$004377,17271,DAS7B,"""HDMA Indirect Address (Bank)""",UNUSED
$004378,17272,A2A7L,"""HDMA Mid Frame Table Address (Low)""",UNUSED
