SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$009D18,40216,CODE_009D18,,USED
$009D21,40225,CODE_009D21,,USED
$009D4B,40267,CODE_009D4B,,USED
$009D6B,40299,CODE_009D6B,,USED
$009D75,40309,CODE_009D75,,USED
$009D8F,40335,CODE_009D8F,,USED
$009D9A,40346,CODE_009D9A,,USED
$009D9F,40351,CODE_009D9F,,USED
$009DA2,40354,CODE_009DA2,,USED
$009DB4,40372,CODE_009DB4,,USED
$009DBA,40378,CODE_009DBA,,USED
$009DBD,40381,CODE_009DBD,,USED
$009DC9,40393,CODE_009DC9,,USED
$009DCB,40395,CODE_009DCB,,USED
$009DD2,40402,CODE_009DD2,,USED
$009DDF,40415,CODE_009DDF,,USED
$009DE8,40424,CODE_009DE8,,USED
$009DF9,40441,CODE_009DF9,,USED
$009E0E,40462,UNREACH_009E0E,,USED
$009E6E,40558,UNREACH_009E6E,,USED
$00A1AB,41387,CODE_00A1AB,,USED
$00A1F8,41464,CODE_00A1F8,,USED
$00A220,41504,CODE_00A220,,USED
$00A236,41526,CODE_00A236,,USED
$00A273,41587,CODE_00A273,,USED
$00A2A2,41634,CODE_00A2A2,,USED
$00A2BB,41659,CODE_00A2BB,,USED
$00A2CB,41675,CODE_00A2CB,,USED
$00A2D4,41684,UNREACH_00A2D4,,USED
$00A2DD,41693,UNREACH_00A2DD,,USED
$00A2DE,41694,UNREACH_00A2DE,,USED
$00A2FF,41727,UNREACH_00A2FF,,USED
$00A32F,41775,CODE_00A32F,,USED
$00A342,41794,CODE_00A342,,USED
$00A375,41845,CODE_00A375,,USED
$00A3A5,41893,CODE_00A3A5,,USED
$00A3BD,41917,CODE_00A3BD,,USED
$00A3C6,41926,CODE_00A3C6,,USED
$00A3CC,41932,CODE_00A3CC,,USED
$00A401,41985,CODE_00A401,,USED
$00A406,41990,CODE_00A406,,USED
$00A437,42039,CODE_00A437,,USED
$00A43C,42044,CODE_00A43C,,USED
$00A46D,42093,CODE_00A46D,,USED
$00A472,42098,CODE_00A472,,USED
$00A4A3,42147,CODE_00A4A3,,USED
$00A4A8,42152,CODE_00A4A8,,USED
$00A4D9,42201,CODE_00A4D9,,USED
$00A4DE,42206,CODE_00A4DE,,USED
$00A50F,42255,CODE_00A50F,,USED
$00A514,42260,CODE_00A514,,USED
$00A519,42265,CODE_00A519,,USED
$00A56E,42350,CODE_00A56E,,USED
$00A57D,42365,CODE_00A57D,,USED
$00A597,42391,CODE_00A597,,USED
$00A5C8,42440,CODE_00A5C8,,USED
$00A5CD,42445,CODE_00A5CD,,USED
$00A71C,42780,CODE_00A71C,,USED
$00A73E,42814,CODE_00A73E,,USED
$00A755,42837,CODE_00A755,,USED
$00A7C6,42950,CODE_00A7C6,,USED
$00A7DE,42974,CODE_00A7DE,,USED
$00A7F9,43001,CODE_00A7F9,,USED
$00A833,43059,CODE_00A833,,USED
$00A85B,43099,CODE_00A85B,,USED
$00A867,43111,CODE_00A867,,USED
$00A896,43158,CODE_00A896,,USED
$00A8C0,43200,CODE_00A8C0,,USED
$00A8D1,43217,CODE_00A8D1,,USED
$00A957,43351,CODE_00A957,,USED
$00A96C,43372,CODE_00A96C,,USED
$00A9B3,43443,CODE_00A9B3,,USED
$00AA22,43554,CODE_00AA22,,USED
$00AA3B,43579,CODE_00AA3B,,USED
$00AA44,43588,CODE_00AA44,,USED
$00AA4E,43598,CODE_00AA4E,,USED
$00AA53,43603,CODE_00AA53,,USED
$00AA5D,43613,CODE_00AA5D,,USED
$00AA6F,43631,CODE_00AA6F,,USED
$00AAF7,43767,UNREACH_00AAF7,,USED
$00AB44,43844,CODE_00AB44,,USED
$00AB52,43858,CODE_00AB52,,USED
$00AB64,43876,CODE_00AB64,,USED
$00AB6A,43882,CODE_00AB6A,,USED
$00AB77,43895,CODE_00AB77,,USED
$00AB9F,43935,CODE_00AB9F,,USED
$00ABFC,44028,CODE_00ABFC,,USED
$00AC0B,44043,CODE_00AC0B,,USED
$00ACA4,44196,CODE_00ACA4,,USED
$00ACA6,44198,CODE_00ACA6,,USED
$00ACD3,44243,CODE_00ACD3,,USED
$00AD00,44288,CODE_00AD00,,USED
$00AD2D,44333,CODE_00AD2D,,USED
$00AD44,44356,CODE_00AD44,,USED
$00AD52,44370,CODE_00AD52,,USED
$00AD64,44388,CODE_00AD64,,USED
$00AD71,44401,CODE_00AD71,,USED
$00AD85,44421,CODE_00AD85,,USED
$00AD89,44425,CODE_00AD89,,USED
$00ADAC,44460,CODE_00ADAC,,USED
$00AE07,44551,CODE_00AE07,,USED
$00AE4B,44619,CODE_00AE4B,,USED
$00AE69,44649,CODE_00AE69,,USED
$00AE6A,44650,CODE_00AE6A,,USED
$00AE78,44664,CODE_00AE78,,USED
$00AE81,44673,CODE_00AE81,,USED
$00AE9F,44703,CODE_00AE9F,,USED
$00AF2A,44842,CODE_00AF2A,,USED
$00AF47,44871,CODE_00AF47,,USED
